Council,Language,Total,Fiction,NonFiction,DVDs/CDs,Magazines / Newspapers,Adult,YoungAdult,Children,Physical,Digital
Latrobe,Sinhalese,8,0,0,0,8,0,0,0,0,8
Latrobe,Slovak,1,0,0,0,1,0,0,0,0,1
Latrobe,Slovenian,17,0,0,0,17,0,0,0,0,17
Latrobe,Spanish,1298,0,0,0,1298,0,0,0,0,1298
Latrobe,Swedish,271,0,0,0,271,0,0,0,0,271
Latrobe,Tagalog,7,0,0,0,7,0,0,0,0,7
Latrobe,Tamil,3,0,0,0,3,0,0,0,0,3
Latrobe,Thai,5,0,0,0,5,0,0,0,0,5
Latrobe,Turkish,105,0,0,0,105,0,0,0,0,105
Latrobe,Ukrainian,40,0,0,0,40,0,0,0,0,40
Latrobe,Urdu,1,0,0,0,1,0,0,0,0,1
Latrobe,Uzbek,1,0,0,0,1,0,0,0,0,1
Latrobe,Vietnamese,4,0,0,0,4,0,0,0,0,4
Latrobe,Welsh,1,0,0,0,1,0,0,0,0,1
Latrobe,Xhosa,1,0,0,0,1,0,0,0,0,1
Latrobe,Zulu,10,0,0,0,10,0,0,0,0,10
Latrobe,ZZZ - Other,2,0,0,0,2,0,0,0,0,2
Maribyrnong,African languages,517,207,0,310,0,387,0,130,517,0
Maribyrnong,Chinese,8214,3590,2291,2323,10,7384,0,830,7719,495
Maribyrnong,Greek,1286,624,237,418,7,1208,0,78,1286,0
Maribyrnong,Hindi,440,20,0,418,2,427,0,13,440,0
Maribyrnong,Italian,713,367,13,329,4,713,0,0,713,0
Maribyrnong,Spanish,1540,1198,152,186,4,1190,0,350,1518,22
Maribyrnong,Vietnamese,11425,4621,2657,4138,9,9943,0,1482,11425,0
Melbourne,Chinese,9125,3653,2971,2060,441,8172,0,953,8708,417
Melbourne,Hindi,778,232,144,371,31,607,0,171,754,24
Melbourne,Italian,211,0,0,0,211,211,0,0,1,210
Melbourne,Japanese,4809,2375,1753,537,144,3913,0,896,4684,125
Melbourne,Korean,2012,712,366,917,17,1847,0,165,1998,14
Melbourne,Vietnamese,10,0,0,0,10,10,0,0,5,5
Melton,Afrikaans,58,0,0,0,58,58,0,0,0,58
Melton,Arabic,105,66,1,31,7,103,0,2,4,101
Melton,Bengali,29,19,0,10,0,29,0,0,10,19
Melton,Chinese,230,53,0,70,107,221,0,9,72,158
Melton,Danish,31,0,0,0,31,31,0,0,0,31
Melton,Dutch,3,0,0,0,3,3,0,0,0,3
Melton,French,179,1,0,0,178,178,0,1,1,178
Melton,German,105,0,0,0,105,105,0,0,0,105
Melton,Greek,1,0,0,0,1,1,0,0,1,0
Melton,Gujarati,4,0,0,4,0,4,0,0,4,0
Melton,Hindi,532,131,0,396,5,515,0,17,403,129
Melton,Hungarian,1,0,0,0,1,1,0,0,0,1
